year,state,prepays_qty
1999,AK,0
1999,AL,10
1999,AR,2
1999,AZ,30
1999,CA,110
1999,CO,25
1999,CT,6
1999,DC,0
1999,DE,3
1999,FL,44
1999,GA,26
1999,HI,0
1999,IA,6
1999,ID,3
1999,IL,35
1999,IN,13
1999,KS,6
1999,KY,16
1999,LA,5
1999,MA,11
1999,MD,18
1999,ME,1
1999,MI,38
1999,MN,24
1999,MO,13
1999,MS,0
1999,MT,3
1999,NC,25
1999,ND,1
1999,NE,4
1999,NH,5
1999,NJ,24
1999,NM,4
1999,NV,7
1999,NY,27
1999,OH,20
1999,OK,4
1999,OR,20
1999,PA,20
1999,RI,2
1999,SC,11
1999,SD,1
1999,TN,13
1999,TX,37
1999,UT,6
1999,VA,11
1999,VT,0
1999,WA,29
1999,WI,7
1999,WV,0
1999,WY,2
2000,AK,2
2000,AL,10
2000,AR,1
2000,AZ,20
2000,CA,55
2000,CO,18
2000,CT,10
2000,DC,1
2000,DE,3
2000,FL,40
2000,GA,25
2000,HI,0
2000,IA,3
2000,ID,5
2000,IL,36
2000,IN,10
2000,KS,3
2000,KY,13
2000,LA,3
2000,MA,15
2000,MD,11
2000,ME,2
2000,MI,27
2000,MN,23
2000,MO,9
2000,MS,2
2000,MT,1
2000,NC,18
2000,ND,1
2000,NE,3
2000,NH,3
2000,NJ,18
2000,NM,3
2000,NV,6
2000,NY,23
2000,OH,22
2000,OK,6
2000,OR,9
2000,PA,21
2000,RI,5
2000,SC,10
2000,SD,1
2000,TN,4
2000,TX,47
2000,UT,4
2000,VA,16
2000,VT,2
2000,WA,15
2000,WI,11
2000,WV,2
2000,WY,0
2001,AK,4
2001,AL,13
2001,AR,4
2001,AZ,40
2001,CA,170
2001,CO,47
2001,CT,6
2001,DC,2
2001,DE,3
2001,FL,60
2001,GA,40
2001,HI,4
2001,IA,7
2001,ID,8
2001,IL,81
2001,IN,30
2001,KS,14
2001,KY,13
2001,LA,7
2001,MA,29
2001,MD,25
2001,ME,2
2001,MI,58
2001,MN,57
2001,MO,31
2001,MS,2
2001,MT,0
2001,NC,49
2001,ND,1
